"","colony_num","new_yard","split_date","parent_yard","parent_id","varroa_5cup","splits_made","stratum","trt","trt_numeric","ch2_date","ch2_var_tray","ch2_var_wash","ch2_var_total","ch2_wash_workers","ch2_wash_drones","ch2_wash_queens","ch18_date","ch18_qstatus","ch18_eggs","ch18_ageoldest","ch18_age","ch30_date","ch30_eggs","ch30_qstatus","ch30_ageoldest","ch30_age","lay_18","lay_30","start_layday","ch44_date","ch44_eggs","ch44_qstatus","ch44_fob","ch58_date","ch58_eggs","ch58_qstatus","ch58_fob","ch72_date","ch72_eggs","ch72_qstatus","ch72_fob","ch72_supered","ch77_var_total","ch77_wash_workers","ch77_wash_drones","ch77_wash_queens","ch77_supers_use","ch77_lbs","bottom_board","supers_supering_sheet_dontuse","chpost_date","post_supers_use","post_lbs","post_q_status","post_quick_fob","post_issues","chpost_var_total","chpost_wash_workers","chpost_wash_drones","chpost_wash_queens","date_decided_remove","exp_day_decided_remove","reason_removal","date","ch77_qstatus","ch77_efb","ch77_deeps_num","ch77_mediums_num","frames_bees","frames_wbr","frames_dbr","frames_honey","trt_label","trt_type","efb_columns","efb","ch2_wash_bees","ch77_wash_bees","chpost_wash_bees","qstatuses","failed","weak","QL","DL","established","issues","ch77_lbs_C","ch77_kgs_C","post_lbs_C","post_kgs_C"
"11","22-011","Shaw","3/8/22","MOT","21-016",1,3,6,"4-Dribble18",4,"3/10/22",NA,NA,7,233,2,0,"3/26/22","QS","Y","L1",4,"4/7/22","Y","QR","Capped",NA,"14","#VALUE!",14,"4/21/22","Y","QR",8,"5/5/22","Y","QR","16","5/19/22","Y","QR",15,"second super",2,304,7,0,2,180,"Normal",3,"7/1/22",3,227.6,"QR",18,NA,9,323,12,0,"",NA,"","2022-05-24","QS",NA,2,2,6.993,2.975,0.0625,12.242,"OA Dribble","Organic"," NA",0,235,311,335,"QR QR QR QS ",0,0,0,0,1,0,168,76.272,203.6,92.4344
"12","22-012","Shaw","3/8/22","MOT","21-044",5,3,3,"5-Vapor18",5,"3/10/22",NA,NA,1,323,0,0,"3/26/22","QR","Y","Eggs",2,"4/7/22","Y","QR","Capped",NA,"16","#VALUE!",16,"4/21/22","Y","QR",7.5,"5/5/22","Y","QR","12","5/19/22","Y","QR",12,"",1,282,1,0,1,150,"Normal",2,"7/1/22",2,192.4,"QR",14,NA,41,369,8,0,"",NA,"","2022-05-24","QR",NA,2,1,5.923,2.4125,0.025,9.0345,"OA Vapor","Organic"," NA",0,323,283,377,"QR QR QR QR ",0,0,0,0,1,0,150,68.1,180.4,81.9016
"13","22-013","Shaw","3/8/22","MOT","21-044",5,3,3,"6-ManyDribble",6,"3/10/22",NA,NA,4,341,0,0,"3/26/22","QR","Y","Eggs",2,"4/7/22","Y","QS","Capped",NA,"16","#VALUE!",16,"4/21/22","Y","QR",7,"5/5/22","Y","QR","14","5/19/22","Y","QR",11,"",6,363,5,0,1,164.4,"Normal",1,"7/1/22",1,189.2,"QR",14,NA,22,337,14,0,"",NA,"","2022-05-24","QR",NA,2,2,3.175,2.325,0.05,10.2,"5x OA Dribble","Organic"," NA",0,341,368,351,"QR QR QR QR ",0,0,0,0,1,0,164.4,74.6376,189.2,85.8968
"14","22-014","Shaw","3/8/22","MOT","21-044",5,3,3,"2-Apivar",2,"3/10/22",NA,NA,4,328,1,0,"3/26/22","QS","Y","L2",5,"4/7/22","Y","QR","Capped",NA,"13","#VALUE!",13,"4/21/22","Y","QR",8,"5/5/22","Y","QR","13","5/19/22","Y","QR",12,"",3,329,1,0,1,149.4,"Normal",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/24/22",77,"EFB","2022-05-24","QR","Observed",2,1,3.1,2.125,0,9,"Apivar","Synthetic","EFB Observed",1,329,330,NA,"QR QR QR QR EFB",0,0,0,0,1,1,149.4,67.8276,NA,NA
"15","22-015","Shaw","3/8/22","MOT","21-018",5,4,3,"3-Taktic",3,"3/10/22",NA,NA,8,284,0,0,"3/26/22","VQS","N",NA,NA,"4/7/22","N","QL",NA,NA,"#VALUE!","#VALUE!",NA,"4/21/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/7/22",30,"Failed to mate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amitraz EC","Synthetic","Failed to mate NA",0,284,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA
"16","22-016","Shaw","3/8/22","MOT","21-018",5,4,3,"4-Dribble18",4,"3/10/22",NA,NA,10,298,1,0,"3/26/22","QNS","N",NA,NA,"4/7/22","Y","QR","L5",8,"#VALUE!","22",22,"4/21/22","Y","QR",3,"5/5/22","Y","QR","9","5/19/22","Y","QR",8,"",12,413,1,0,1,117.6,"Normal",1,"7/1/22",1,129.8,"QR",7,NA,29,364,2,0,"",NA,"","2022-05-24","QS",NA,2,1,2.95,2.0125,0,4.9,"OA Dribble","Organic"," NA",0,299,414,366,"QR QR QR QS ",0,0,0,0,1,0,117.6,53.3904,129.8,58.9292
"17","22-017","Shaw","3/8/22","MOT","21-018",5,4,3,"7-HopGuard",7,"3/10/22",NA,NA,9,280,24,0,"3/26/22","QR","Y","L3",6,"4/7/22","Y","QS","Capped",NA,"12","#VALUE!",12,"4/21/22","Y","QR",7,"5/5/22","Y","QR","13","5/19/22","Y","QR",16,"",1,271,2,0,1,156.4,"Normal",2,"7/1/22",2,190,"QR",18,NA,5,316,7,0,"",NA,"","2022-05-24","QS",NA,2,1,3.768,2.325,0.0375,9.265,"HopGuard","Organic"," NA",0,304,273,323,"QR QR QR QS ",0,0,0,0,1,0,156.4,71.0056,178,80.812
"18","22-018","Shaw","3/8/22","MOT","21-018",5,4,3,"1-Control",1,"3/10/22",NA,NA,3,309,6,0,"3/26/22","VQS","N",NA,NA,"4/7/22","Y","QS","Prepupa",11,"#VALUE!","19",19,"4/21/22","Y","QR",4.5,"5/5/22","Y","QR","11","5/19/22","Y","QR",7,"",8,390,0,0,1,112.4,"Normal",1,"7/1/22",1,130,"QR",8,NA,30,362,7,0,"",NA,"","2022-05-24","QS",NA,2,1,3.45,2.125,0,3.7375,"Control","Control"," NA",0,315,390,369,"QR QR QR QS ",0,0,0,0,1,0,112.4,51.0296,130,59.02
"19","22-019","Shaw","3/8/22","MOT","20-18",3,3,5,"3-Taktic",3,"3/10/22",NA,NA,3,286,4,0,"3/26/22","VQS","N",NA,NA,"4/7/22","Y","QR","L3",6,"#VALUE!","24",24,"4/21/22","Y","QR",4,"5/5/22","Y","QR","7","5/19/22","Y","QR",6,"",0,300,0,0,1,113.2,"Normal",1,"7/1/22",1,142.2,"QR",17,NA,4,391,2,0,"",NA,"","2022-05-24","QR",NA,2,1,2.291,2.075,0.025,4.025,"Amitraz EC","Synthetic"," NA",0,290,300,393,"QR QR QR QR ",0,0,0,0,1,0,113.2,51.3928,142.2,64.5588
"20","22-020","Shaw","3/8/22","MOT","20-18",3,3,5,"5-Vapor18",5,"3/10/22",NA,NA,3,314,1,0,"3/26/22","QS","Y","L5",8,"4/7/22","Y","QR","Capped",NA,"10","#VALUE!",10,"4/21/22","Y","QR",9.5,"5/5/22","Y","QR","15","5/19/22","Y","QR",13,"",24,310,2,0,1,175.6,"Normal",2,"7/1/22",2,163.6,"QR",12,NA,157,332,1,0,"",NA,"","2022-05-24","QS",NA,2,1,3.7676,0.975,0.05,11.845,"OA Vapor","Organic"," NA",0,315,312,333,"QR QR QR QS ",0,0,0,0,1,0,175.6,79.7224,151.6,68.8264
